date,mean_temp_c,precipitation_mm,streamflow_cms,precip_lag1,precip_3day,precip_7day,temp_3day_mean,temp_7day_mean,streamflow_lag1,streamflow_lag3,streamflow_7day_mean,month,day_of_year,target_next_day_streamflow
2020-04-09,9.6,0.0,53.1,0.1,0.30000000000000004,1.9000000000000143,8.9,7.3428571428571425,43.9,39.0,48.199999999999996,4,100,79.2
2020-04-10,9.9,0.0,79.2,0.0,0.1,0.6000000000000142,9.366666666666667,7.928571428571429,53.1,39.1,45.84285714285714,4,101,114.0
2020-04-11,10.7,0.5,114.0,0.0,0.5,1.1000000000000143,10.066666666666666,8.700000000000001,79.2,43.9,48.528571428571425,4,102,96.6
2020-04-12,9.0,0.0,96.6,0.5,0.5,1.1000000000000143,9.866666666666667,9.028571428571428,114.0,53.1,58.457142857142856,4,103,81.7
2020-04-13,8.3,0.0,81.7,0.0,0.5,0.8000000000000141,9.333333333333334,9.228571428571428,96.6,79.2,66.41428571428571,4,104,77.9
2020-04-14,9.4,0.0,77.9,0.0,0.0,0.6000000000000142,8.9,9.357142857142858,81.7,114.0,72.51428571428572,4,105,96.6
2020-04-15,12.1,0.0,96.6,0.0,0.0,0.5000000000000142,9.933333333333334,9.857142857142858,77.9,96.6,78.05714285714285,4,106,165.0
2020-04-16,11.7,0.1,165.0,0.0,0.1,0.6000000000000142,11.066666666666668,10.157142857142857,96.6,81.7,85.58571428571429,4,107,159.0
2020-04-17,10.9,0.0,159.0,0.1,0.1,0.6000000000000142,11.566666666666668,10.299999999999999,165.0,77.9,101.57142857142857,4,108,191.0
2020-04-18,13.4,0.2,191.0,0.0,0.30000000000000004,0.30000000000001426,12.0,10.685714285714285,159.0,96.6,112.97142857142856,4,109,204.0
2020-04-19,12.4,0.0,204.0,0.2,0.2,0.30000000000001426,12.233333333333334,11.171428571428573,191.0,165.0,123.97142857142856,4,110,242.0
2020-04-20,11.9,0.0,242.0,0.0,0.2,0.30000000000001426,12.566666666666668,11.685714285714285,204.0,159.0,139.31428571428572,4,111,240.0
2020-04-21,11.0,0.5,240.0,0.0,0.5,0.8000000000000143,11.766666666666666,11.914285714285713,242.0,191.0,162.21428571428572,4,112,232.0
2020-04-22,11.5,1.7,232.0,0.5,2.2,2.500000000000014,11.466666666666669,11.828571428571427,240.0,204.0,185.37142857142857,4,113,243.0
2020-04-23,12.5,0.0,243.0,1.7,2.2,2.400000000000014,11.666666666666666,11.942857142857141,232.0,242.0,204.71428571428572,4,114,232.0
2020-04-24,12.0,0.0,232.0,0.0,1.7,2.400000000000014,12.0,12.1,243.0,240.0,215.85714285714286,4,115,250.0
2020-04-25,11.3,28.2,250.0,0.0,28.2,30.400000000000013,11.933333333333332,11.799999999999999,232.0,232.0,226.28571428571428,4,116,257.0
2020-04-26,10.3,1.4,257.0,28.2,29.599999999999998,31.80000000000001,11.200000000000001,11.5,250.0,243.0,234.71428571428572,4,117,220.0
2020-04-27,10.1,18.6,220.0,1.4,48.2,50.40000000000001,10.566666666666668,11.242857142857144,257.0,232.0,242.28571428571428,4,118,227.0
2020-04-28,7.5,1.4,227.0,18.6,21.4,51.30000000000001,9.299999999999999,10.742857142857144,220.0,250.0,239.14285714285714,4,119,204.0
2020-04-29,8.8,4.0,204.0,1.4,24.0,53.60000000000001,8.799999999999999,10.357142857142858,227.0,257.0,237.28571428571428,4,120,271.0
2020-04-30,9.033333333333333,10.033333333333335,271.0,4.0,15.433333333333335,63.63333333333335,8.444444444444445,9.861904761904762,204.0,220.0,233.28571428571428,4,121,286.0
2020-05-01,9.266666666666667,16.06666666666667,286.0,10.033333333333335,30.100000000000005,79.70000000000002,9.033333333333333,9.471428571428573,271.0,227.0,237.28571428571428,5,122,286.0
2020-05-02,9.5,22.1,286.0,16.06666666666667,48.2,73.60000000000002,9.266666666666666,9.214285714285714,286.0,204.0,245.0,5,123,332.0
